Profile_ID,SHAP_Score,SHAP+_Score,Q-SHAP+_Score
1,53.38,57.01,56.97
2,53.38,57.01,56.97
3,52.16,55.23,54.33
4,53.91,57.33,55.15
5,55.25,55.69,50.87
6,52.16,55.23,54.33
7,46.26,51.87,52.65
8,45.46,57.38,56.96
9,45.46,57.38,56.96
10,55.25,55.69,50.87
11,46.68,54.7,52.63
12,53.91,57.33,55.15
13,46.11,54.88,55.92
14,52.16,55.23,54.33
15,46.46,54.74,49.93
16,46.26,51.87,52.65
17,46.46,54.74,49.93
18,53.91,57.33,55.15
19,55.25,55.69,50.87
20,53.38,57.01,56.97
21,46.46,54.74,49.93
22,46.41,54.79,49.27
23,46.46,54.74,49.93
24,46.46,54.74,49.93
25,45.84,55.49,56.69
26,46.2,55.62,55.02
27,52.16,55.23,54.33
28,45.84,55.49,56.69
29,46.46,54.74,49.93
30,45.46,57.38,56.96
31,53.91,57.33,55.15
32,52.16,55.23,54.33
33,45.84,55.49,56.69
34,53.91,57.33,55.15
35,46.26,51.87,52.65
36,45.46,57.38,56.96
37,52.16,55.23,54.33
38,45.46,57.38,56.96
39,46.11,54.88,55.92
40,46.46,54.74,49.93
41,46.41,54.79,49.27
42,53.91,57.33,55.15
43,46.11,54.88,55.92
44,52.16,55.23,54.33
45,53.91,57.33,55.15
46,53.91,57.33,55.15
47,46.41,54.79,49.27
48,45.84,55.49,56.69
49,45.46,57.38,56.96
50,52.16,55.23,54.33
51,53.91,57.33,55.15
52,45.84,55.49,56.69
53,52.16,55.23,54.33
54,46.46,54.74,49.93
